,en,ber,gv,jap,kj,kwn,lun,mos,ng,nyk,ss
0,"Is there a red sandal here?| bleu: 100.0, sim: 1.0","Is there stars around here?| bleu: 19.43, sim: 0.3499999940395355","Open a new tab| bleu: 7.55, sim: -0.05000000074505806","""Is there any red cedars?| bleu: 15.62, sim: 0.5199999809265137","Is there any other place in which you live?| bleu: 9.29, sim: 0.25","Is there a better place?| bleu: 27.48, sim: 0.41999998688697815","Has there ever been fire?| bleu: 8.17, sim: 0.25999999046325684","Is this unleavened bread?| bleu: 8.52, sim: 0.23000000417232513","Is there a figurative place?| bleu: 27.48, sim: 0.41999998688697815","Is there any powerful miracle?| bleu: 15.21, sim: 0.28999999165534973","Is There a Battle for People in the world?| bleu: 5.52, sim: 0.15000000596046448"
37,"What kind of cat is that?| bleu: 100.0, sim: 1.0","What breed is this dog?| bleu: 9.04, sim: 0.2199999988079071","Panel ID list?| bleu: 7.55, sim: 0.18000000715255737","And what have ye? and what hath he among his kind, that ye should run after his kind?| bleu: 2.39, sim: 0.05999999865889549","What will happen next?| bleu: 8.52, sim: 0.25","What blessings do we hear?| bleu: 8.17, sim: 0.10999999940395355","What should we do?| bleu: 8.52, sim: 0.27000001072883606","What does that mean?| bleu: 9.42, sim: 0.3499999940395355","What sort of things are these?| bleu: 8.64, sim: 0.41999998688697815","What self - examination shows that a person has a good conscience?| bleu: 4.07, sim: 0.09000000357627869","What type of sin?| bleu: 9.42, sim: 0.33000001311302185"
38,"What is the color of the bears apron?| bleu: 100.0, sim: 1.0","What's your favorite planet's solar system?| bleu: 4.94, sim: 0.10999999940395355","Master, which is the great commandment?| bleu: 10.79, sim: 0.3100000023841858","and every raven after its kind, and the vulture after its kind,| bleu: 2.84, sim: 0.029999999329447746","What color do humans display?| bleu: 6.48, sim: 0.28999999165534973","What does he really know about our Shepherd?| bleu: 5.67, sim: 0.28999999165534973","What does the Bible say?| bleu: 6.48, sim: 0.23000000417232513","What is that?| bleu: 10.13, sim: 0.2800000011920929","What is a discerning enemy who is discerning?| bleu: 10.55, sim: 0.27000001072883606","How often, though, is suffering so much?| bleu: 4.99, sim: 0.10000000149011612","What is the source of jw.org?| bleu: 20.16, sim: 0.25"
39,"Are the windows of the building open?| bleu: 100.0, sim: 1.0","Were there any windows on the bank?| bleu: 7.27, sim: 0.6399999856948853","Do you want to remove any bookmarks with the non-existing location from your list?| bleu: 3.13, sim: -0.029999999329447746",""" can't a wall be opened to him a wall?| bleu: 3.75, sim: 0.3199999928474426","Can such things help us to have all the facts?| bleu: 4.46, sim: 0.27000001072883606","Does it encourage others to do so?| bleu: 5.52, sim: 0.3199999928474426","Did the earth be filled with beauty?| bleu: 6.57, sim: 0.27000001072883606","His wisdom is seen in the way the house is built.| bleu: 4.03, sim: 0.25999999046325684","Are such cards dangerous?| bleu: 6.97, sim: 0.1899999976158142","Do these tools need to build the temple?| bleu: 5.67, sim: 0.23999999463558197","Would the smoke of the lions open?| bleu: 16.52, sim: 0.28999999165534973"
40,"Where is the mirror?| bleu: 100.0, sim: 1.0","Where's the road?| bleu: 14.79, sim: 0.3100000023841858","What is your Windows Live Windows?| bleu: 7.81, sim: 0.25999999046325684","""But where is the light? Where is the earth?| bleu: 13.55, sim: 0.25999999046325684","Where is the answer?| bleu: 42.73, sim: 0.44999998807907104","Where does the mirror contain a mirror?| bleu: 15.62, sim: 0.9200000166893005","What is a mirror?| bleu: 23.64, sim: 0.8899999856948853","Where is a mirror?| bleu: 30.21, sim: 0.9800000190734863","Where can we be like that?| bleu: 7.81, sim: 0.30000001192092896","Where is the mirror?| bleu: 100.0, sim: 1.0","What does the mirror represent?| bleu: 17.97, sim: 0.8500000238418579"
41,"Is this picture real?| bleu: 100.0, sim: 1.0","Is this true story?| bleu: 23.64, sim: 0.5899999737739563","Do you like to run this application?| bleu: 6.57, sim: 0.14000000059604645","How long shall it be ere it be by faith?| bleu: 3.75, sim: 0.25","Is that true?| bleu: 14.79, sim: 0.6800000071525574","Is that not reasonable?| bleu: 12.7, sim: 0.5099999904632568","Is that happening?| bleu: 14.79, sim: 0.6600000262260437","Is that true?| bleu: 14.79, sim: 0.6800000071525574","Is that true?| bleu: 14.79, sim: 0.6800000071525574","Is that true?| bleu: 14.79, sim: 0.6800000071525574","Will this really happen?| bleu: 12.7, sim: 0.4699999988079071"
42,"What is wrapped around the sandwich?| bleu: 100.0, sim: 1.0","What's on the box on the box?| bleu: 6.57, sim: 0.15000000596046448","Wacom action-type| bleu: 0.0, sim: -0.019999999552965164","Can the sand of the sea forsake his face, or forsake the sand of the sea?| bleu: 2.55, sim: 0.17000000178813934","What, though, about singing the singing song that is the best song?| bleu: 3.72, sim: 0.0","What does it mean to spread literature?| bleu: 6.57, sim: 0.20999999344348907","What are some of the things that are not appealing?| bleu: 4.93, sim: 0.18000000715255737","What methods have been made to prevent people from becoming known?| bleu: 4.03, sim: 0.11999999731779099","What makes people more likely to talk about it?| bleu: 4.99, sim: 0.09000000357627869","What are many things that are taking place in the world?| bleu: 4.46, sim: -0.05000000074505806","What is the light of a stone so that it keeps it off?| bleu: 6.75, sim: 0.09000000357627869"
43,"What is the cat doing?| bleu: 100.0, sim: 1.0","What cat is the cat?| bleu: 34.33, sim: 0.9200000166893005","Panel program list?| bleu: 9.69, sim: 0.23000000417232513","And what wilt thou do unto them, or what shall ye do unto them?| bleu: 2.45, sim: 0.20000000298023224","What will happen next?| bleu: 10.4, sim: 0.28999999165534973","What are they doing?| bleu: 19.36, sim: 0.3400000035762787","What should we do?| bleu: 10.4, sim: 0.3199999928474426","What are they doing?| bleu: 19.36, sim: 0.3400000035762787","What sort of things do many people do?| bleu: 5.67, sim: 0.1599999964237213","What does it mean to do what is right?| bleu: 5.52, sim: 0.20999999344348907","Why does a person do something?| bleu: 6.57, sim: 0.25999999046325684"
44,"Is the baby wearing stripes?| bleu: 100.0, sim: 1.0","Is the baby crying?| bleu: 34.98, sim: 0.3700000047683716","Orca Screen Reader| bleu: 0.0, sim: 0.17000000178813934","Doth the hungry smite him that is hungry, and take him away?| bleu: 3.38, sim: -0.019999999552965164","Could a young child wear off?| bleu: 6.57, sim: 0.38999998569488525","Is the baby struggling to strip off the old personality?| bleu: 14.99, sim: 0.18000000715255737","Is a baby born before the arrival of the wheat?| bleu: 5.3, sim: 0.28999999165534973","Does the baby mentioned in this article grow old?| bleu: 9.29, sim: 0.25","Does a child drink excessive drinking?| bleu: 6.57, sim: 0.18000000715255737","Does a baby look after a baby?| bleu: 6.57, sim: 0.4699999988079071","Does the child have immoral dress?| bleu: 7.81, sim: 0.4099999964237213"
45,"What is the girl standing on?| bleu: 100.0, sim: 1.0","What's the girl standing in there?| bleu: 26.27, sim: 0.8899999856948853","24-hour| bleu: 0.0, sim: 0.20000000298023224","""What does the young lady say? Why do the virgins stand at her mouth?| bleu: 3.01, sim: 0.3700000047683716","What was it like for her to have such a relationship?| bleu: 4.03, sim: 0.28999999165534973","What did the girl mean?| bleu: 16.34, sim: 0.6700000166893005","What does a young woman do?| bleu: 7.81, sim: 0.5699999928474426","What is the girl standing before?| bleu: 64.35, sim: 0.9300000071525574","Where would the girl be standing before him?| bleu: 11.34, sim: 0.7400000095367432","What should a young woman do?| bleu: 7.81, sim: 0.5400000214576721","What is the best girl?| bleu: 29.06, sim: 0.33000001311302185"
46,"Are there any people?| bleu: 100.0, sim: 1.0","Were people there?| bleu: 16.37, sim: 0.9200000166893005","Emptying history?| bleu: 0.0, sim: 0.23000000417232513","Who is able to go up? or who is there even of the people only?| bleu: 3.01, sim: 0.4000000059604645","Is there anyone else?| bleu: 12.7, sim: 0.7099999785423279","Are there people with whom they live?| bleu: 13.13, sim: 0.5699999928474426","Is that true to everyone?| bleu: 8.12, sim: 0.49000000953674316","Is there a problem in people's life?| bleu: 6.57, sim: 0.5199999809265137","Is there any human?| bleu: 23.64, sim: 0.9200000166893005","Is there any human?| bleu: 23.64, sim: 0.9200000166893005","Is there anything else?| bleu: 12.7, sim: 0.6299999952316284"
47,"What pattern is the fabric of the couch?| bleu: 100.0, sim: 1.0","What is the difference between asteroids and comets?| bleu: 11.34, sim: 0.12999999523162842","David therefore call his son David David David, how is he so his son?| bleu: 2.91, sim: 0.11999999731779099","What advantage has he who makes his bed in profit?| bleu: 4.46, sim: 0.25999999046325684","What does that example mean?| bleu: 5.85, sim: 0.20999999344348907","What example do we have today?| bleu: 5.87, sim: 0.07999999821186066","How is that illustration united?| bleu: 5.85, sim: 0.25","What fine example did political leaders have?| bleu: 5.8, sim: 0.12999999523162842","What seems to be the case?| bleu: 6.5, sim: 0.28999999165534973","Why is this so dangerous?| bleu: 5.85, sim: 0.10999999940395355","What is the example of your mate?| bleu: 12.26, sim: 0.11999999731779099"
48,"How many bananas are in this picture?| bleu: 100.0, sim: 1.0","How many pictures are there in this picture?| bleu: 36.89, sim: 0.4000000059604645","Fee this application?| bleu: 6.99, sim: 0.0","Or where was he sick?| bleu: 5.82, sim: 0.10999999940395355","What is the condition of most people today?| bleu: 4.77, sim: 0.11999999731779099","How have many used this illustration?| bleu: 8.05, sim: 0.18000000715255737","What do many think?| bleu: 6.97, sim: 0.18000000715255737","Why can it be said that corruption is wrong?| bleu: 4.2, sim: 0.20999999344348907","How many people suffer in this regard?| bleu: 16.52, sim: 0.12999999523162842","How do many feel about this quality?| bleu: 7.81, sim: 0.18000000715255737","How do many people feel about that?| bleu: 7.27, sim: 0.1599999964237213"
49,"What type of area is this?| bleu: 100.0, sim: 1.0","What's the temperature of this temperature?| bleu: 8.64, sim: 0.49000000953674316","What is ID ID?| bleu: 9.42, sim: 0.44999998807907104","For what is the thing that he hath done? and what is that to thee?| bleu: 2.72, sim: 0.3400000035762787","What does that article represent?| bleu: 8.17, sim: 0.5400000214576721","What is the area?| bleu: 10.13, sim: 0.9300000071525574","What is this place?| bleu: 17.03, sim: 0.75","In what way?| bleu: 7.55, sim: 0.699999988079071","What is involved in this article?| bleu: 9.29, sim: 0.5199999809265137","What is that?| bleu: 9.93, sim: 0.7400000095367432","What change could there be?| bleu: 8.17, sim: 0.46000000834465027"
50,"What does the word on the front of the bus mean?| bleu: 100.0, sim: 1.0","What bus left the bus stop?| bleu: 7.65, sim: 0.5400000214576721","David call him Lord, how is he his son David?| bleu: 3.39, sim: 0.05000000074505806","For what profit is there before the world, that its words should be like?| bleu: 2.91, sim: 0.10999999940395355","What does that mean?| bleu: 7.45, sim: 0.28999999165534973","What is the meaning of the word?| bleu: 10.48, sim: 0.28999999165534973","What is the meaning of the above words?| bleu: 8.59, sim: 0.27000001072883606","What does that word mean?| bleu: 8.93, sim: 0.33000001311302185","What do those words mean?| bleu: 6.61, sim: 0.2800000011920929","What does God's Word mean?| bleu: 8.45, sim: 0.14000000059604645","What does it mean to walk on foot?| bleu: 8.59, sim: 0.27000001072883606"
51,"What is the elephant doing?| bleu: 100.0, sim: 1.0","What causes that color?| bleu: 10.4, sim: 0.20999999344348907","What is your Windows Live password?| bleu: 14.54, sim: 0.1899999976158142","What stone has a stone? It is deceit.| bleu: 5.52, sim: 0.11999999731779099","What will happen next?| bleu: 10.4, sim: 0.18000000715255737","What is involved in doing research?| bleu: 15.62, sim: 0.10000000149011612","What may be the result of the bow?| bleu: 6.27, sim: 0.17000000178813934","What are they doing?| bleu: 19.36, sim: 0.23000000417232513","What happens when someone makes a danger dangerous?| bleu: 5.67, sim: 0.1899999976158142","What attitude?| bleu: 0.0, sim: 0.25","How do we guard against doing so?| bleu: 6.57, sim: 0.1599999964237213"
52,"Is anyone wearing a blue shirt?| bleu: 100.0, sim: 1.0","Have you ever white a white shirt?| bleu: 12.22, sim: 0.28999999165534973","Or what shall a man judge? Or what shall a man give for his goods?| bleu: 2.72, sim: 0.10999999940395355","Or don't you know that they are like them?| bleu: 4.2, sim: 0.09000000357627869","Was there someone who wore the pearl?| bleu: 5.52, sim: 0.4300000071525574","Who is the one dressed?| bleu: 6.87, sim: 0.4699999988079071","Does a person wearing a flow of blood?| bleu: 10.55, sim: 0.25","Does anyone have the right to decide what to do?| bleu: 4.46, sim: 0.28999999165534973","Is there anyone interested in wearing clothing?| bleu: 7.81, sim: 0.47999998927116394","Is there someone wearing such a garment?| bleu: 7.81, sim: 0.5199999809265137","Is there someone that wears clothing?| bleu: 7.81, sim: 0.5400000214576721"
53,"Is this a baseball field?| bleu: 100.0, sim: 1.0","Is this a football player?| bleu: 32.47, sim: 0.25999999046325684","What is your Windows Live password?| bleu: 6.57, sim: -0.0","Is it a worm that is low, a man whose portion is an evil?| bleu: 3.22, sim: 0.15000000596046448","Can that help a family to be truly happy?| bleu: 4.99, sim: 0.1599999964237213","Is that really a sports career?| bleu: 8.64, sim: 0.3400000035762787","Does that work operate?| bleu: 8.75, sim: 0.18000000715255737","Was it a field?| bleu: 19.36, sim: 0.5899999737739563","Are these involved in politics?| bleu: 8.12, sim: 0.2800000011920929","Was this movie movie used in one place?| bleu: 5.67, sim: 0.27000001072883606","What is the meaning of the arguments?| bleu: 5.52, sim: 0.12999999523162842"
54,"What kind of room is this?| bleu: 100.0, sim: 1.0","What is this room?| bleu: 18.01, sim: 0.949999988079071","What is ID ID?| bleu: 9.42, sim: 0.30000001192092896","Wherever this rooms are in their rooms,| bleu: 5.52, sim: 0.7099999785423279","What does that mean?| bleu: 8.52, sim: 0.5199999809265137","What can we learn from this?| bleu: 14.54, sim: 0.3199999928474426","What is a room in an upper room?| bleu: 6.74, sim: 0.7099999785423279","What is that?| bleu: 9.93, sim: 0.46000000834465027","How much better is this?| bleu: 25.58, sim: 0.3700000047683716","What attitude?| bleu: 0.0, sim: 0.3700000047683716","What is the room?| bleu: 10.13, sim: 0.949999988079071"
55,"What color is the table top?| bleu: 100.0, sim: 1.0","What color is that table?| bleu: 29.06, sim: 0.8799999952316284","What is your Windows Live password?| bleu: 8.64, sim: 0.15000000596046448","""What profit is there on the table, that is, on the table?| bleu: 6.15, sim: 0.4399999976158142","What makes fire burning?| bleu: 8.52, sim: 0.3700000047683716","What is the most effective method of transportation?| bleu: 11.34, sim: 0.15000000596046448","What types of types are discussed above?| bleu: 6.57, sim: 0.3100000023841858","What is that?| bleu: 9.93, sim: 0.28999999165534973","To what extent might a person imagine?| bleu: 5.52, sim: 0.33000001311302185","What cup is illustrated by the rock badger?| bleu: 6.74, sim: 0.3100000023841858","What creation?| bleu: 0.0, sim: 0.23000000417232513"
56,"What color is the zebra?| bleu: 100.0, sim: 1.0","What color is red horse?| bleu: 32.47, sim: 0.25","Prefere_nces| bleu: 0.0, sim: 0.05999999865889549","the son of Amzi, where was the son of Amzi?| bleu: 4.03, sim: 0.28999999165534973","What problem is caused by humans?| bleu: 8.64, sim: 0.1599999964237213","What can we learn from this?| bleu: 7.81, sim: 0.10999999940395355","What is one of these ones?| bleu: 8.64, sim: 0.20999999344348907","What is the color of the skin color?| bleu: 11.99, sim: 0.4000000059604645","What danger is there for a person to die?| bleu: 5.52, sim: 0.10000000149011612","Why?| bleu: 0.0, sim: 0.23999999463558197","What is like gold?| bleu: 11.51, sim: 0.2199999988079071"
57,"What trick is he doing?| bleu: 100.0, sim: 1.0","What's going on?| bleu: 9.69, sim: 0.5","What is ID ID ID?| bleu: 10.68, sim: 0.3400000035762787","And what shall ye do? or what shall he do?| bleu: 4.03, sim: 0.44999998807907104","What does God approve of?| bleu: 9.65, sim: 0.2800000011920929","What does she do?| bleu: 10.4, sim: 0.41999998688697815","How does he deceive us?| bleu: 9.65, sim: 0.6899999976158142","What does he do?| bleu: 11.51, sim: 0.5600000023841858","What can she do?| bleu: 10.4, sim: 0.47999998927116394","What is he doing?| bleu: 57.89, sim: 0.6399999856948853","What is effective?| bleu: 12.75, sim: 0.49000000953674316"
58,"Is the man about to get hurt?| bleu: 100.0, sim: 1.0","Can someone eat the food?| bleu: 6.92, sim: 0.1899999976158142","What do you think that I have power to do that I have power to do with you?| bleu: 2.41, sim: 0.25999999046325684","Will a man be driven from evil? Or shall he keep secret?| bleu: 3.38, sim: 0.46000000834465027","Did this man be offended?| bleu: 6.92, sim: 0.6700000166893005","Will that pain be painful?| bleu: 5.82, sim: 0.5899999737739563","Does that man want to hurt him?| bleu: 7.81, sim: 0.8199999928474426","But does a man do everything he can to cause him pain?| bleu: 4.07, sim: 0.5199999809265137","Should a man hurt him?| bleu: 7.65, sim: 0.8399999737739563","Could the man hurt his mistakes because of his mistakes?| bleu: 8.91, sim: 0.6299999952316284","Can a man hurt you?| bleu: 7.65, sim: 0.7200000286102295"
59,"Is this baseball player holding a bat?| bleu: 100.0, sim: 1.0","Is this a soccer player?| bleu: 14.63, sim: 0.09000000357627869","Do you want to empty the trash before you unmount?| bleu: 3.75, sim: 0.03999999910593033","For there is vanity in vain; yea, who can speak evil of it?| bleu: 2.45, sim: 0.09000000357627869","Does that play?| bleu: 5.88, sim: 0.27000001072883606","Is it wise to participate in such a situation?| bleu: 5.52, sim: 0.2199999988079071","Is it not a type of game?| bleu: 7.27, sim: 0.3400000035762787","Is that something valuable?| bleu: 6.97, sim: 0.36000001430511475","Is it a role in that role?| bleu: 7.27, sim: 0.3400000035762787","Could myrrh be a long journey?| bleu: 6.77, sim: 0.05999999865889549","Has this information changed?| bleu: 6.97, sim: 0.25"
60,"Is this a hospital?| bleu: 100.0, sim: 1.0","Is this wrong with this?| bleu: 17.97, sim: 0.33000001311302185","? bytes| bleu: 0.0, sim: 0.1599999964237213","Is it at Nob, or at all sick?| bleu: 4.99, sim: 0.3799999952316284","Does that mean that in the hospital?| bleu: 11.04, sim: 0.9300000071525574","Is this in the hospital?| bleu: 22.96, sim: 0.949999988079071","Does this mean that someone at a medical hospital is at home?| bleu: 4.37, sim: 0.7599999904632568","Is the hospital the hospital mentioned?| bleu: 8.64, sim: 0.9200000166893005","Was this in the hospital?| bleu: 17.97, sim: 0.9399999976158142","Is the hospital a hospital?| bleu: 32.47, sim: 0.9700000286102295","Is this situation effective?| bleu: 23.64, sim: 0.27000001072883606"
61,"What bank is sponsoring the venue?| bleu: 100.0, sim: 1.0","Which bank is near?| bleu: 15.85, sim: 0.6299999952316284","Cancel Group Change?| bleu: 7.55, sim: 0.03999999910593033","Where then were your feet in? Where is the work, and where were their away?| bleu: 2.83, sim: 0.20999999344348907","What, though, about paying taxes?| bleu: 6.57, sim: 0.3100000023841858","What causes divisions?| bleu: 8.97, sim: 0.07000000029802322","What can cause a serious problem?| bleu: 7.81, sim: 0.10000000149011612","What money is given?| bleu: 9.42, sim: 0.49000000953674316","What methods do we receive in the spirit realm?| bleu: 5.52, sim: 0.07999999821186066","What is the most important thing we must do?| bleu: 5.93, sim: 0.1599999964237213","What damage does the earth provide?| bleu: 8.64, sim: 0.10000000149011612"
62,"What color are the traffic lights?| bleu: 100.0, sim: 1.0","What kind of cars do you have?| bleu: 6.57, sim: 0.30000001192092896","Do you want to empty the trash before you unmount?| bleu: 4.46, sim: 0.0","""What does the carpenter do in the day? What is the vain in the light?| bleu: 2.83, sim: 0.23000000417232513","What do these lamps represent?| bleu: 8.17, sim: 0.47999998927116394","What opportunity have they made?| bleu: 8.17, sim: 0.20000000298023224","Which of them were white?| bleu: 6.87, sim: 0.33000001311302185","What is the journey?| bleu: 9.42, sim: 0.27000001072883606","What does the unintentional manslayer represent?| bleu: 8.64, sim: 0.10000000149011612","Who are those who are on the streets?| bleu: 6.27, sim: 0.3700000047683716","What are the lights that shed light on us?| bleu: 10.55, sim: 0.5699999928474426"
63,"What color is the sink?| bleu: 100.0, sim: 1.0","What color is horse's horse?| bleu: 32.47, sim: 0.2199999988079071","What is your SIP account password?| bleu: 8.64, sim: 0.38999998569488525","Where is hope? where is the waters that sink?| bleu: 10.6, sim: 0.47999998927116394","What problem arose?| bleu: 11.52, sim: 0.20999999344348907","What can we do to succeed?| bleu: 7.81, sim: 0.1899999976158142","What does the Bible say?| bleu: 10.68, sim: 0.18000000715255737","What can we learn from Paul's example?| bleu: 6.57, sim: 0.25999999046325684","How does a person's color shine?| bleu: 7.81, sim: 0.5","What are some recreation and entertainment?| bleu: 7.81, sim: 0.10000000149011612","What tools have been made to many people?| bleu: 5.67, sim: 0.10999999940395355"
64,"What game is this?| bleu: 100.0, sim: 1.0","What today is today?| bleu: 14.06, sim: 0.3100000023841858","Clear this criterion?| bleu: 14.79, sim: 0.20999999344348907","Where are ye? and what doth this, what shall I do?| bleu: 3.38, sim: 0.4399999976158142","How might that be illustrated?| bleu: 8.12, sim: 0.33000001311302185","What is this career?| bleu: 25.41, sim: 0.5099999904632568","What are these qualities?| bleu: 12.7, sim: 0.3700000047683716","What is this form of recreation?| bleu: 15.62, sim: 0.4099999964237213","What happened?| bleu: 0.0, sim: 0.5199999809265137","What is that?| bleu: 16.37, sim: 0.550000011920929","What was my mother's response?| bleu: 9.65, sim: 0.3100000023841858"
65,"What is the man catching?| bleu: 100.0, sim: 1.0","Who's that man standing over there?| bleu: 7.81, sim: 0.25999999046325684","What is your Group?| bleu: 19.36, sim: 0.18000000715255737","How can a man interpret his cause?| bleu: 6.57, sim: 0.25999999046325684","What was that man's clothing?| bleu: 9.65, sim: 0.2199999988079071","What does a man understand?| bleu: 10.68, sim: 0.30000001192092896","What makes a friendship possible?| bleu: 9.65, sim: 0.1599999964237213","What does the man want?| bleu: 19.3, sim: 0.4099999964237213","What is the result?| bleu: 34.98, sim: 0.2199999988079071","What did the man do?| bleu: 19.3, sim: 0.3700000047683716","What man is the man with whom he is walking?| bleu: 15.85, sim: 0.2800000011920929"
66,"How many people are in the image?| bleu: 100.0, sim: 1.0","How many people are there in there?| bleu: 38.26, sim: 0.8899999856948853","What is he that believed in the name?| bleu: 10.55, sim: 0.3100000023841858","What is there among the idols? or what is there among the idols?| bleu: 3.13, sim: 0.33000001311302185","How have many been created in God's image?| bleu: 11.99, sim: 0.4399999976158142","How are many people like the image of the image?| bleu: 19.08, sim: 0.6000000238418579","But what if so many people are like this image?| bleu: 17.54, sim: 0.6899999976158142","How many people live in an image?| bleu: 27.05, sim: 0.8700000047683716","How were many created?| bleu: 7.72, sim: 0.5899999737739563","Why are many in God's image?| bleu: 14.32, sim: 0.4399999976158142","How many people are mentioned in this illustration?| bleu: 33.03, sim: 0.8700000047683716"
67,"What is the weather like in the picture?| bleu: 100.0, sim: 1.0","What's the picture in the picture?| bleu: 32.67, sim: 0.5199999809265137","Applet IIDs?| bleu: 0.0, sim: 0.019999999552965164","Shall not darkness be moved as darkness? and to what shall they be as the mire of the streets?| bleu: 2.39, sim: 0.10999999940395355","What situation do you imagine?| bleu: 5.85, sim: 0.44999998807907104","What can be said about the environment?| bleu: 6.41, sim: 0.47999998927116394","What, though, is like the wind?| bleu: 7.13, sim: 0.5600000023841858","Likely, what is hope?| bleu: 5.85, sim: 0.3199999928474426","What do the weather seem to be?| bleu: 11.59, sim: 0.8999999761581421","What is the wind?| bleu: 19.2, sim: 0.5600000023841858","What is the climate like that?| bleu: 20.87, sim: 0.7799999713897705"
68,"What's in the oven?| bleu: 100.0, sim: 1.0","What's in the park?| bleu: 42.73, sim: 0.05999999865889549","Would you like to run ""%s""?| bleu: 4.2, sim: 0.2800000011920929","What profit is there in the oven, that is in the midst of the furnace?| bleu: 9.15, sim: 0.6700000166893005","What happened to fire?| bleu: 10.68, sim: 0.6000000238418579","What should young ones do?| bleu: 8.12, sim: 0.14000000059604645","What was the Scriptural message?| bleu: 9.65, sim: 0.12999999523162842","What was done in hell?| bleu: 9.65, sim: 0.44999998807907104","What makes a person wearing the color of his skin?| bleu: 4.46, sim: 0.27000001072883606","What Makes the Theocratic Ministry School?| bleu: 7.81, sim: 0.25","What difference is there between humans?| bleu: 6.57, sim: 0.10000000149011612"
69,"What brand are the catcher's shoes?| bleu: 100.0, sim: 1.0","What sunglasses is that on?| bleu: 8.17, sim: 0.28999999165534973","Search the web| bleu: 0.0, sim: 0.09000000357627869","Shall his strength run upon a girdle? or his strength with a girdle?| bleu: 2.63, sim: 0.3100000023841858","What did one night say?| bleu: 8.17, sim: 0.12999999523162842","What was it?| bleu: 8.97, sim: 0.17000000178813934","What situations might arise when someone makes mistakes?| bleu: 5.67, sim: 0.09000000357627869","What must we do if we are to obtain clothing?| bleu: 4.93, sim: 0.28999999165534973","What were some things that were arrested?| bleu: 6.57, sim: 0.11999999731779099","What must you do when the sheep are broken?| bleu: 5.93, sim: 0.15000000596046448","What is one of the best ways?| bleu: 7.27, sim: 0.25"
70,"What is the man in the red shirt holding?| bleu: 100.0, sim: 1.0","Who was the man standing on the wall?| bleu: 10.15, sim: 0.2800000011920929","What shall the Son of man be?| bleu: 6.08, sim: 0.3700000047683716","What man is there to be, that he may be clean in Rebekah; and that he may not cleave to him?| bleu: 2.35, sim: 0.15000000596046448","What was the man's upper room in the cell?| bleu: 10.55, sim: 0.36000001430511475","What can a person do to protect him?| bleu: 5.07, sim: 0.30000001192092896","How does a person define it?| bleu: 4.28, sim: 0.30000001192092896","What is that?| bleu: 7.89, sim: 0.3400000035762787","What is the man who is strong?| bleu: 28.47, sim: 0.38999998569488525","What is the man in the parable of the leaven?| bleu: 47.99, sim: 0.33000001311302185","What is a husband's desire?| bleu: 9.22, sim: 0.38999998569488525"
71,"How high is the plane in the sky?| bleu: 100.0, sim: 1.0","How long is there in the bus?| bleu: 12.26, sim: 0.14000000059604645","What is it written in the book of the wilderness in the wilderness?| bleu: 7.14, sim: -0.029999999329447746","""Will the Most High go up to the sky? Or shall the height of the whole earth be made to the sky?| bleu: 6.02, sim: 0.699999988079071","Where can we benefit from the spirit realm?| bleu: 5.67, sim: 0.05999999865889549","How can we look at the roof of our house?| bleu: 4.93, sim: 0.3700000047683716","What good things are in heaven?| bleu: 5.87, sim: 0.3700000047683716","How extensive is the universe?| bleu: 11.71, sim: 0.4399999976158142","How do stars live in an earthly place?| bleu: 6.27, sim: 0.5","How can the stars help us?| bleu: 6.5, sim: 0.41999998688697815","How important is the heavenly place?| bleu: 11.74, sim: 0.28999999165534973"
72,"Is the giraffe taller than trees?| bleu: 100.0, sim: 1.0","How many apple trees are there in the garden?| bleu: 5.52, sim: 0.25","Wacom action-type| bleu: 0.0, sim: 0.029999999329447746","The spirit is better than the trees: and the height of the high places is better than the trees.| bleu: 2.39, sim: 0.3700000047683716","Could it be that trees are stronger than trees?| bleu: 15.62, sim: 0.49000000953674316","Was there a lot of trees like trees?| bleu: 9.54, sim: 0.36000001430511475","Is trees more dangerous than trees?| bleu: 26.27, sim: 0.38999998569488525","Is there a variety of trees?| bleu: 14.54, sim: 0.33000001311302185","Could trees have been more complex than trees?| bleu: 17.75, sim: 0.44999998807907104","Can a King's Kingdom Hall become a Kingdom Hall?| bleu: 4.2, sim: 0.11999999731779099","Are the trees cut off from trees?| bleu: 12.22, sim: 0.10000000149011612"
73,"What is the green food on the plate?| bleu: 100.0, sim: 1.0","How many garden are there in the garden?| bleu: 5.67, sim: 0.3100000023841858","Network Connections| bleu: 0.0, sim: 0.10999999940395355","If there is room, what is that you have, because you have bread for it?| bleu: 2.55, sim: 0.27000001072883606","What are the variety of foods that eats from various kinds of foods?| bleu: 3.74, sim: 0.5299999713897705","What makes food so dangerous?| bleu: 6.48, sim: 0.4000000059604645","What is the result of the provisions at the end of the universe?| bleu: 12.01, sim: 0.3100000023841858","What must we do if we eat and drink?| bleu: 4.99, sim: 0.28999999165534973","Where can food be satisfied?| bleu: 5.85, sim: 0.4699999988079071","Why is food important?| bleu: 6.32, sim: 0.4699999988079071","What is the meal?| bleu: 19.2, sim: 0.5199999809265137"
