,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
47,"('What pattern is the fabric of the couch?', 1.0)","('What pattern is the fabric on the couch?', 0.99)","('What pattern is the couch cloth?', 0.92)","(""What's the couch fabric?"", 0.92)","('Which pattern is the fabric of the sofa?', 0.91)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"('How many bananas are in this picture?', 1.0)","('How many bananas are there in this picture?', 1.0)","('How many bananas are in the picture?', 1.0)","('How many bananas are found in this picture?', 0.99)","('How many bananas in this picture?', 0.99)","('How many bananas is this picture?', 0.99)","('How many bananas are included?', 0.96)","('How much bananas are there in this situation?', 0.94)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"('What type of area is this?', 1.0)","('What kind of area is this?', 0.98)","('What sort of area is that?', 0.97)","('What kind of area is this area?', 0.97)","('What is this kind of area?', 0.95)","('What is that area?', 0.93)","('What is the area?', 0.93)","(""What's this area?"", 0.92)","('What is this area?', 0.92)","('Which area is that?', 0.91)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"('What does the word on the front of the bus mean?', 1.0)","('What does the word at the front of the bus mean?', 0.97)","(""What's the word on the front of the bus?"", 0.96)","('What does that word mean on the front of a bus?', 0.95)","('What did the expression on the front of the bus mean?', 0.95)","('What does that word mean at the front of the bus?', 0.94)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"('What is the elephant doing?', 1.0)","(""What's the elephant doing?"", 0.99)","(""What's that elephant doing?"", 0.98)","(""What's an elephant doing?"", 0.98)","('What does the elephant do?', 0.96)","('What does an elephant do?', 0.96)","('What does elephant do?', 0.94)","('What is the elephant to do?', 0.92)","('What should an elephant do?', 0.91)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"('Is anyone wearing a blue shirt?', 1.0)","('Does anyone wear a blue shirt?', 0.98)","('Does anybody have a blue shirt?', 0.98)","('Does anyone have a blue shirt?', 0.98)","('Anyone wearing a blue shirt?', 0.97)","('Anybody wearing a blue shirt?', 0.96)","('Is there someone who wears a blue shirt?', 0.96)","('Anybody in a blue shirt?', 0.96)","('Is there someone wearing a blue shirt?', 0.96)","('Was there a blue shirt?', 0.95)","('Does anyone use a blue shirt?', 0.94)","('Does anyone wear blue shirts?', 0.94)","('Was he wearing a blue shirt?', 0.94)","('Is there someone dressed in a blue shirt?', 0.94)","('Is anyone wearing blue clothing?', 0.93)","('Is there anyone wearing blue?', 0.93)","('Is anyone wearing a blue garment?', 0.92)","('Anybody got a blue shirt?', 0.92)","('Was anyone wearing a blue garment?', 0.91)","('Does anyone wear blue clothing?', 0.91)",,,,,,,,,,,,,,,,,,,,,
53,"('Is this a baseball field?', 1.0)","('Is this the baseball field?', 0.99)","('Is this baseball field?', 0.99)","('Is that a baseball field?', 0.99)","('Is it a baseball field?', 0.99)","('Is this a field of baseball?', 0.98)","('This is a baseball field?', 0.97)","('Is this baseball territory?', 0.91)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"('What kind of room is this?', 1.0)","('What sort of room is this?', 1.0)","('What type of room is this?', 0.99)","('What kind of room is that?', 0.99)","('What kind of room is it?', 0.98)","('What kind of room?', 0.98)","('What kind of room was that?', 0.98)","('What kind of room this room?', 0.98)","('What room is this?', 0.98)","('What is this kind of room?', 0.97)","('What is this type of room?', 0.97)","('What is that room?', 0.95)","('What is this room?', 0.95)","('What is the room?', 0.95)","(""What's this room?"", 0.95)","('What about this room?', 0.91)","('Such a room?', 0.91)",,,,,,,,,,,,,,,,,,,,,,,,
55,"('What color is the table top?', 1.0)","('What color is the top of the table?', 0.95)","('What color is on the top of the table?', 0.93)","('What color is on top of the table?', 0.93)","('What color is the top table?', 0.93)","('What is the color on the top of the table?', 0.92)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"('What color is the zebra?', 1.0)","('What color is a zebra?', 0.99)","('What color is zebra?', 0.99)","('Which color is the zebra?', 0.99)","('What is the color of the zebra?', 0.98)","('What color does the zebra have?', 0.98)","('What color is the zebras?', 0.98)","('What color is zebras?', 0.97)","('What color are zebras?', 0.97)","(""What is the zebra's color?"", 0.97)","('What colors do zebras have?', 0.92)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,"('What trick is he doing?', 1.0)","('What kind of trick is he doing?', 0.98)","('What trick does he make?', 0.95)","('What kind of trick does he do?', 0.95)","('What trick does he employ?', 0.94)","('What kind of trick did he do?', 0.94)","('What trick are you doing?', 0.93)","('What trick does it do?', 0.92)","('What trick does it make?', 0.91)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"('Is a man about to get hurt?', 1.0)","('Is the man about to get hurt?', 1.0)","('Is this man about to get hurt?', 0.99)","('Is that man about to get hurt?', 0.99)","('Is the man going to get hurt?', 0.98)","('Is the man about to be hurt?', 0.98)","('Is this man about to be hurt?', 0.97)","('Is that man gonna get hurt?', 0.96)","('Is this man gonna get hurt?', 0.96)","('Is this guy gonna get hurt?', 0.96)","('Will the man get hurt?', 0.94)","('Is he gonna get hurt?', 0.92)","('Is the man soon to get hurt?', 0.91)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"('Is this baseball player holding a bat?', 1.0)","('Is this baseball player holding the bat?', 0.99)","('Is that baseball player holding a bat?', 0.99)","('Does this baseball player hold a bat?', 0.99)","('Is that the baseball player holding a bat?', 0.98)","('Is that baseball player holding the bat?', 0.98)","('Is it a baseball player holding a bat?', 0.98)","('Did the baseball player hold a bat?', 0.98)","('Is the baseball player holding the bat?', 0.97)","('Is he a baseball player holding a bat?', 0.97)","('Does the baseball player hold the bat?', 0.96)","('Does this baseball player have a bat in his hand?', 0.95)","('Is this baseball player with a bat in hand?', 0.95)","('Is this baseball player a bat holding?', 0.95)","('Is the baseball player wearing a bat?', 0.94)","('Does the baseball player have a bat?', 0.94)","('Does this baseball player have a bat?', 0.94)","('Did this baseball player have a bat?', 0.93)","('Is the baseball player having a bat?', 0.93)","('Does that baseball player have a bat?', 0.93)","('Is this baseball bat holding player?', 0.91)",,,,,,,,,,,,,,,,,,,,
60,"('Was this a hospital?', 1.0)","('Is this a hospital?', 1.0)","('Is this the hospital?', 0.99)","('Is that a hospital?', 0.98)","('Is this hospital?', 0.98)","('Is it a hospital?', 0.98)","('Is this hospital a hospital?', 0.98)","('Is the hospital a hospital?', 0.97)","('Was this hospital?', 0.97)","('Was it a hospital?', 0.97)","('Is this at the hospital?', 0.96)","('Was the hospital a hospital?', 0.96)","('Is he a hospital?', 0.96)","('Is that the hospital?', 0.96)","('Could this be at the hospital?', 0.96)","(""It's a hospital?"", 0.95)","('Is the hospital?', 0.95)","('Is this in the hospital?', 0.95)","('Was this in the hospital?', 0.94)","('Does that mean that in the hospital?', 0.93)","('Is it in the hospital?', 0.93)","('Is that just a hospital?', 0.92)","('Is the hospital the hospital mentioned?', 0.92)","('Does this mean that we are in a hospital?', 0.92)",,,,,,,,,,,,,,,,,
61,"('What bank is sponsoring the venue?', 1.0)","('Which bank sponsors the venue?', 0.97)","('What bank sponsors the place?', 0.94)","('Which bank is sponsoring the place?', 0.94)","('Which bank is sponsoring the location?', 0.93)","('Which bank sponsors this place?', 0.93)","('Which bank is sponsoring this place?', 0.93)","('Which bank sponsors the place?', 0.93)","('What bank sponsors this place?', 0.93)","('Which bank sponsors the location?', 0.92)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"('What color are the traffic lights?', 1.0)","('What color are traffic lights?', 0.99)","('What color is traffic lights?', 0.99)","('What color is the traffic light?', 0.98)","('What color do traffic lights have?', 0.98)","('What is the color of traffic lights?', 0.97)","('What is the color of the traffic lights?', 0.97)","(""What's the color of traffic lights?"", 0.96)","(""What's the color of the traffic lights?"", 0.96)","('What colors do traffic lights have?', 0.94)","('What color are the light of traffic light?', 0.94)","('What colour are the traffic lights?', 0.94)","('What colour are traffic lights?', 0.93)","('What color do road lights have?', 0.91)",,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"('What color is the sink?', 1.0)","('What color was the sink?', 0.99)","('What is the color of the sink?', 0.97)","('What color is on the sink?', 0.97)","(""What's the color of the sink?"", 0.96)","('What is the colour of the sink?', 0.92)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"('What game is this?', 1.0)","('What game is that?', 0.99)","('What game is it?', 0.98)","('What kind of game is this?', 0.98)","('What is that game?', 0.97)","(""What's this game?"", 0.96)","('What is this game?', 0.96)","('What game?', 0.96)","('What was this game?', 0.95)","('What type of game is it?', 0.95)","('Which game is it?', 0.94)","(""What's the game?"", 0.93)","('Which game?', 0.92)","('What was this a game?', 0.92)",,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"('What is the man catching?', 1.0)","(""What's the man catching?"", 0.99)","(""What's this man catching?"", 0.97)","(""What's he catching?"", 0.95)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,"('How many people are in the image?', 1.0)","('How many people are there in the image?', 0.99)","('How many people is in the image?', 0.99)","('How many people are in this image?', 0.99)","('How many people were in the image?', 0.99)","('How many people are there in the picture?', 0.98)","('How many people are in that picture?', 0.98)","('How many people are in the picture?', 0.98)","('How many people are in this picture?', 0.98)","('How many people are included in the image?', 0.97)","('How many people are in an image?', 0.97)","('How many people in that image?', 0.97)","('How many people are in the image of that image?', 0.97)","('How many are people in the picture?', 0.97)","('How many people are there in this picture?', 0.97)","('How many people in the picture?', 0.97)","('How many people were on the image?', 0.97)","('How many people are pictured?', 0.96)","('How many humans are on this image?', 0.93)","('How many humans are in this image?', 0.93)","('How many humans are in the image?', 0.92)","('How do many people in the image?', 0.91)","('How many people are there?', 0.91)",,,,,,,,,,,,,,,,,,
67,"(""What's the weather like in the picture?"", 1.0)","('What is the weather like in this picture?', 1.0)","('What is the weather like in the picture?', 1.0)","(""What's the weather like in that picture?"", 0.99)","('What does the weather look like in the picture?', 0.98)","(""What's the weather like in the photo?"", 0.98)","('What is the weather in this picture?', 0.97)","(""What's the weather on the picture?"", 0.97)","(""What's the weather in the photo like?"", 0.97)","('What is the weather in the picture?', 0.97)","(""What's the weather in the picture?"", 0.96)","('What about the weather in the picture?', 0.95)","('What is the weather as a picture?', 0.94)","('What does the weather look like?', 0.94)","('What is the weather like in the illustration?', 0.94)","('What is the weather situation in the picture?', 0.94)","('What is the weather like?', 0.92)","('How is the weather like the picture?', 0.92)","('What is the condition of the weather in the picture?', 0.92)","('How is the weather in the picture?', 0.91)",,,,,,,,,,,,,,,,,,,,,
68,"('What is in the oven?', 1.0)","(""What's in the oven?"", 1.0)","('What is there in the oven?', 0.97)","('What is inside the oven?', 0.96)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"(""What brand is the catcher's shoes?"", 1.0)","(""What brand are the catcher's shoes?"", 1.0)","('What brand are the shoes of the catcher?', 0.98)","('What brand are the catcher shoes?', 0.98)","('What are the brand of shoes the catcher?', 0.96)","(""What kind are the catcher's shoes?"", 0.95)","('What make are catcher shoes?', 0.93)","(""What's the name of the catcher's shoes?"", 0.92)","(""What is the mark of the catcher's shoes?"", 0.91)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,"('What is the man in the red shirt holding?', 1.0)","(""What's the man in the red shirt holding?"", 0.99)","(""What's the guy in the red shirt holding?"", 0.98)","(""What's the man with the red shirt holding?"", 0.98)","('What does this man in a red shirt hold?', 0.96)","(""What's the guy holding in the red shirt?"", 0.94)","(""What's that guy holding in the red shirt?"", 0.94)","(""What's the man holding in the red shirt?"", 0.94)","(""What's a man holding in a red shirt?"", 0.92)","('What does the man hold in the red shirt?', 0.91)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"('How high is the plane in the sky?', 1.0)","('How high is the plane in the air?', 0.98)","('How high is the plane of the sky?', 0.97)","('How high is the plane?', 0.96)","('How high is the flying plane?', 0.96)","('How high is an airplane?', 0.94)","('How tall is the plane in the sky?', 0.94)","('How high is the plane in heaven?', 0.93)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,"('Is the giraffe taller than trees?', 1.0)","('Is the giraffe taller than the trees?', 0.99)","('Is it the giraffe taller than trees?', 0.99)","('Are giraffes taller than trees?', 0.98)","('Is the giraffe more tall than the trees?', 0.98)","('Is the giraffe higher than trees?', 0.97)","('Is the giraffe higher than the trees?', 0.97)","('Is the giraffe bigger than trees?', 0.96)","('Is the giraffe much larger than trees?', 0.96)","('Is the giraffe bigger than the trees?', 0.96)","('Is the giraffe longer than the trees?', 0.95)","('Is the giraffe longer than trees?', 0.95)","('Is the higher than giraffe trees?', 0.92)","('A giraffe longer than a tree?', 0.92)",,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"('What is the green food on the plate?', 1.0)","('What is green food on the plate?', 0.99)","(""What's the green food on the plate?"", 0.99)","(""What's green food on the plate?"", 0.99)","('What is green food in the plate?', 0.99)","('What green food is on the plate?', 0.98)","(""What's that green food on the plate?"", 0.98)","('What is the green food on the plates?', 0.98)","(""What's green food on a plate?"", 0.97)","('What is green food on a plate?', 0.97)","('What is green food in the plates?', 0.97)","(""What's with the green food on the plate?"", 0.97)","(""How's the green food on the plate?"", 0.95)","('What is the green food on the table?', 0.93)","('What is the green dish on the plate?', 0.93)","('What is green food on the dish?', 0.92)","('What is a green dish on the plate?', 0.92)","('What is the green food at the dish?', 0.91)",,,,,,,,,,,,,,,,,,,,,,,
74,"('Are the cows eating the grass?', 1.0)","('Are the cows eat the grass?', 0.98)","('Are the cows eating grass?', 0.98)","('Do the cows eat the grass?', 0.97)","('Will the cows eat the grass?', 0.96)","('Are cows eating grass?', 0.96)","('The cows eat the grass?', 0.95)","('Did the cows eat grass?', 0.95)","('Do cows eat grass?', 0.92)","('Cows eat grass?', 0.91)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,"('Is this a real picture?', 1.0)","('Does this be a real picture?', 0.99)","('Is that a real picture?', 0.99)","('Is this picture real?', 0.96)","('Is that a real photo?', 0.96)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,"('Is it six or twelve birds?', 1.0)","('Is it six to twelve birds?', 0.99)","('Are they six or twelve birds?', 0.99)","('Is it about six or twelve birds?', 0.99)","('Are there six or twelve birds?', 0.99)","('Is this six or twelve birds?', 0.99)","('Is that six or twelve birds?', 0.99)","('Is there six or twelve birds?', 0.99)","('Six or twelve birds?', 0.98)","('Are six or twelve birds?', 0.98)","('Is it six or 12 birds?', 0.98)","('Were they six or twelve birds?', 0.98)","('Were six birds or twelve?', 0.97)","('Is he six or twelve birds?', 0.97)","('Are they six or 12 birds?', 0.97)","('Six or 12 birds?', 0.96)","('Six birds or 12 birds?', 0.95)","('6 or 12 birds?', 0.94)",,,,,,,,,,,,,,,,,,,,,,,
77,"('How many windows do you see?', 1.0)","('How many windows can you see?', 0.98)","('How many windows did you see?', 0.98)","('How do many windows see?', 0.97)","('How many windows have you seen?', 0.97)","('How many windows do you view?', 0.97)","('How much windows do you see?', 0.96)","('How many windows do you find?', 0.95)","('How many windows do you have?', 0.95)","('How do you notice many windows?', 0.94)","('How many windows do you think?', 0.93)","('The amount of windows you see?', 0.93)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"('What color is the tie?', 1.0)","('What is the color of the tie?', 0.99)","('Which color is the tie?', 0.99)","(""What's the color of the tie?"", 0.98)","('What color does the tie have?', 0.98)","('What color is that tie?', 0.98)","(""What's the tie color?"", 0.97)","('What color tie?', 0.97)","('What color does your tie have?', 0.96)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"('Why are the men in suits so overweight?', 1.0)","('Why are men in suits so overweight?', 0.99)","('Why are men so overweight in suits?', 0.98)","('Why are the men in such an overweight suit?', 0.96)","('Why do men in suits have so much weight?', 0.94)","('Why are people in suits so overweight?', 0.94)","('Why are the suits so overweight?', 0.93)","('Why are the men in suits so heavy?', 0.92)","('Why are men in suits so obese?', 0.92)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,"('How many fruits are in this plate?', 1.0)","('How many fruits are there on this plate?', 1.0)","('How many fruits are on this plate?', 1.0)","('How many fruits are on the plate?', 0.99)","('How many fruits does this plate have?', 0.98)","('How many fruits are they on the plate?', 0.98)","('How many fruit is on this plate?', 0.97)","('How many fruit on this plate?', 0.96)","('How many fruit is there on this plate?', 0.96)","('How many fruit are there on this plate?', 0.96)","('How much fruit is there on this plate?', 0.95)","('How much fruit is on this plate?', 0.94)","('How much fruit is in this plate?', 0.94)","('How much fruit is available in this plate?', 0.94)","('How much fruit is there in this plate?', 0.94)","('How much fruit is available on the plate?', 0.93)","('How many fruits are there on this dish?', 0.93)","('How much fruit is found on the plates?', 0.92)","('How many fruits are contained on this table?', 0.92)","('How much fruit does this plate produce?', 0.91)","('How many fruits do they contain?', 0.91)","('How many fruits are on this fruit?', 0.91)","('How many fruits are there?', 0.91)","('How much fruit is produced in this plates?', 0.91)",,,,,,,,,,,,,,,,,
81,"('What colors decorate the cake?', 1.0)","('Which colors decorate the cake?', 0.99)","('What colors to decorate the cake?', 0.98)","('What colors will decorate the cake?', 0.98)","('What kind of colors decorate cake?', 0.98)","('What colors decorated the cake?', 0.97)","('What colors adorn the cake?', 0.97)","('What kind of colors adorn the cake?', 0.96)","('What colours decorate the cake?', 0.96)","('What color does the cake decorate?', 0.96)","('What colors do the cake adorn?', 0.96)","('What colors adorn this cake?', 0.96)","('What color decorated the cake?', 0.95)","('What colors are used to adorn cake?', 0.95)","('What color adorns the cake?', 0.94)","('What colors do you make for the cake?', 0.94)","('What color the cake?', 0.93)","('What color are they to decorate the cake?', 0.92)","('What color do the cake have?', 0.92)","('What color is the cake?', 0.91)","('What color color is made up of the cake?', 0.91)","('What color does the cake represent?', 0.91)","('What is the color of the cake?', 0.91)",,,,,,,,,,,,,,,,,,
82,"('How many pillows are seen?', 1.0)","('How many pillows were seen?', 1.0)","('How many pillows can be seen?', 0.99)","('How many pillows have been seen?', 0.98)","('How many pillows do you see?', 0.97)","('How many pillows can you see?', 0.96)","('How many pillows are views?', 0.95)","('How many pillows are there?', 0.94)","('How many pillows can be found?', 0.93)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"('What type of animal is in the scene?', 1.0)","('What kind of animal is in the scene?', 0.99)","('What kind of animal is there in the scene?', 0.98)","('What kind of animal is the scene?', 0.97)","('What type of animal is on the scene?', 0.96)","('What kind of animal is at the scene?', 0.95)","('What kind of animal is in the picture?', 0.94)","('What kind of animal is on the scene?', 0.93)","('What kind of animal is in the sight?', 0.93)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,"('How many boats are in water?', 1.0)","('How many boats are in the water?', 1.0)","('How many boats are there in water?', 0.99)","('How many boats are there in the water?', 0.99)","('How many boats were on the water?', 0.99)","('How many boats were on water?', 0.98)","('How many boat is there in the water?', 0.97)","('How many boats are found in water?', 0.97)","('How many boats are there?', 0.96)","('How are many boats in the water?', 0.96)","('How many boats is the water?', 0.95)","('How many boats does water contain?', 0.91)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"('What is the woman taking a picture of?', 1.0)","(""What's the woman taking a picture of?"", 1.0)","(""What's that woman taking a picture of?"", 0.99)","('What is the woman taking a picture of it?', 0.99)","(""What's the woman taking pictures of?"", 0.97)","('What does the woman take a picture of?', 0.97)","(""What's the woman taking a picture?"", 0.96)","(""What's this woman taking pictures of?"", 0.96)","(""What's a woman taking pictures of?"", 0.96)","(""What's that woman taking pictures of?"", 0.95)","('What does the woman taking the picture represent?', 0.92)","('What is the woman taking photos?', 0.92)","('What is the woman who takes the picture?', 0.91)","('Did the woman take pictures?', 0.91)",,,,,,,,,,,,,,,,,,,,,,,,,,,
86,"('Are these professional baseball players?', 1.0)","('Are those professional baseball players?', 0.99)","('Are these baseball professional players?', 0.98)","('Are they professional baseball players?', 0.98)","('Do these professional baseball players?', 0.98)","('Is this professional baseball player?', 0.95)","('Are the baseball players professional?', 0.94)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,"('Is this food sweet?', 1.0)","('Was this food sweet?', 0.99)","('Is that food sweet?', 0.98)","('Were these food sweet?', 0.98)","('Is the food sweet?', 0.98)","('Is this sweet food?', 0.97)","('This food is sweet?', 0.95)","('Is that sweet food?', 0.95)","('Was this meal sweet?', 0.94)","('Was that sweet meal good?', 0.94)","('Is that piece of food sweet - inspiring?', 0.94)","('Is this meal sweet?', 0.94)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,"('Is this a modest young woman?', 1.0)","('Was this an modest young woman?', 0.99)","('Was this a modest young woman?', 0.99)","('Is it a modest young woman?', 0.99)","('Is she a modest young lady?', 0.98)","('Was it a modest young woman?', 0.98)","('Is this modest young woman?', 0.98)","('Is that a modest young woman?', 0.98)","('Is this a modest girl?', 0.98)","('Is she a modest young woman?', 0.98)","('Is this young woman modest?', 0.97)","('Is this what a modest young woman is?', 0.97)","('Is this a modest woman?', 0.97)","('Is that a young girl modest?', 0.96)","('Is this modest girl?', 0.96)","('Is that a modest woman?', 0.95)","('Is this woman modest?', 0.94)","('Was this modest woman?', 0.94)","('Was this modest woman a modest woman?', 0.93)","('Would this girl be modest?', 0.93)","('Was she modest?', 0.91)",,,,,,,,,,,,,,,,,,,,
89,"('Are these flowers artificial?', 1.0)","('Are those flowers artificial?', 1.0)","('Are the flowers artificial?', 0.99)","('Are these artificial flowers?', 0.99)","('Is the flowers artificial?', 0.99)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,"('What is the book on?', 1.0)","(""What's the book on?"", 0.99)","(""What's the book in?"", 0.94)","(""What's the book?"", 0.93)","(""What's the book about?"", 0.93)","('What is the book about?', 0.93)","('What is the book?', 0.92)","(""What's that book about?"", 0.92)","('What book?', 0.92)","('What Is the Book?', 0.92)","('What is that book?', 0.91)","(""What's this book?"", 0.91)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"('Is there a phone on the table?', 1.0)","('Is there a phone on a table?', 0.99)","('Is there a phone at the table?', 0.98)","('Do you have a phone on the table?', 0.96)","('Is there a cell phone on the table?', 0.96)","('Is there a phone call on the table?', 0.94)","('Is there a telephone on the table?', 0.91)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,"('What are the kids in?', 1.0)","('What are the children in?', 0.97)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,"('Is the person alone?', 1.0)","('Is this person alone?', 0.99)","('Is a person alone?', 0.99)","('Is that person alone?', 0.98)","('Is that the person alone?', 0.96)","('Is there someone alone?', 0.95)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"('Is the train 1 color?', 1.0)","('Is train 1 color?', 0.99)","('Is a train 1 color?', 0.98)","('Does the train have 1 - color color?', 0.95)","('Does the train represent 1 color?', 0.95)","('Is the color 1 train?', 0.95)","('Is the train color 1?', 0.95)","('Is this 1 color train?', 0.95)","('1 Is the train color?', 0.94)","('Is it a 1 color train?', 0.94)","('Is it the color of the train 1?', 0.94)","('Is it a 1-color train?', 0.94)","('1 is the color of the train?', 0.93)","('Does the train have 1 colors?', 0.93)","('Is the train made up of 1 colors?', 0.93)","('Is train 1 colored?', 0.93)","('Did the train have 1 colors?', 0.92)","('Train 1 color?', 0.91)",,,,,,,,,,,,,,,,,,,,,,,
95,"('Are the flowers open?', 1.0)","('Is the flowers open?', 0.99)","('Are Flowers Open?', 0.98)","('Are flowers open?', 0.98)","('The flowers are open?', 0.96)","('Does the flowers open?', 0.96)","('Did the flowers open?', 0.95)","('Is the open flowers?', 0.94)","('Will the flowers open?', 0.94)","('Are the flowers opened?', 0.93)","('Do flowers open?', 0.92)","('Are these flowers opened?', 0.92)","('Are flowers opened?', 0.91)","('Is flowers opened?', 0.91)",,,,,,,,,,,,,,,,,,,,,,,,,,,
96,"('What color is the sweater that this person is wearing?', 1.0)","('What color is the sweater that the person is wearing?', 1.0)","('What color is the sweater the person wears?', 0.99)","('What color is the sweater the person is wearing?', 0.99)","('What color is the sweater that a person wears?', 0.99)","('What color is the sweater that the person wears?', 0.99)","('What color is the sweater a person wears?', 0.98)","(""What color is that person's sweater wearing?"", 0.98)","('What is the color of the sweater that a person wears?', 0.98)","('What color is the sweater wearing?', 0.97)","('What color does the sweater wear?', 0.96)","('What color is the sweater?', 0.95)","('What color is that sweater?', 0.94)","('What color brings the sweater that the person wears?', 0.94)","(""What color is that guy's sweater he's wearing?"", 0.93)","('What color sweater is she wearing?', 0.92)",,,,,,,,,,,,,,,,,,,,,,,,,
97,"('What color jacket is the boy wearing?', 1.0)","('What color jacket does the boy wear?', 0.98)","('What color jacket does the boy have?', 0.98)","('What color is the jacket on the boy?', 0.97)","('What color jacket did the boy wear?', 0.97)","('The boy wore what color jacket?', 0.96)","(""What color is the boy's jacket?"", 0.96)","('What is the color jacket of the wearing boy?', 0.95)","('What colored jacket did the boy wear?', 0.94)","('What color coat is the boy wearing?', 0.93)","('What color coat is that boy wearing?', 0.92)","('Which color coat does the boy wear?', 0.91)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"('What color is the bowl?', 1.0)","('Which color is the bowl?', 0.99)","('What color is that bowl?', 0.98)","('What color does the bowl have?', 0.98)","('What is the color of the bowl?', 0.97)","('What color does this bowl have?', 0.96)","('What was the color of that bowl?', 0.95)","('What is the colour of the bowl?', 0.93)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,"('Is the bear standing on ice?', 1.0)","('Is the bear standing on the ice?', 0.99)","('Is the bear standing in ice?', 0.99)","('Is a bear standing in ice?', 0.98)","('Does the bear stand in ice?', 0.97)","('Does the bear stand on ice?', 0.97)","('Does the bear stand on the ice?', 0.95)","('Does a bear stand on the ice?', 0.95)","('Is the bear on ice?', 0.94)","('Is the stand bear on ice?', 0.93)","('Is the bear standing on the top of the ice?', 0.92)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
